year,market_Cap_Filter,sector_Filter,industry_Filter,company_Size_Filter,symbol
1980,100_Million_Dollar_Company,Technology,"Electronic Components","Thousand +",AMOT
1980,100_Million_Dollar_Company,Industrials,"Staffing & Employment Services","5 Thousand +",KELYA
1980,100_Million_Dollar_Company,"Financial Services","Asset Management","Less Than Hundred",CSWC
1980,100_Million_Dollar_Company,"Financial Services","Insurance—Property & Casualty","Thousand +",UFCS
1980,100_Million_Dollar_Company,"Basic Materials","Specialty Chemicals","Hundred +",HWKN
1980,100_Million_Dollar_Company,"Basic Materials","Building Materials","Hundred +",USLM
1980,100_Million_Dollar_Company,Industrials,"Industrial Distribution","Thousand +",DSGR
1980,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",WABC
1980,Billion_Dollar_Company,Healthcare,"Medical Instruments & Supplies","Hundred +",ATRI
1980,Billion_Dollar_Company,"Consumer Cyclical","Furnishings, Fixtures & Appliances","10 Thousand +",MLKN
1980,Billion_Dollar_Company,Technology,Semiconductors,"Thousand +",SMTC
1980,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",TRMK
1980,Billion_Dollar_Company,"Consumer Cyclical","Furnishings, Fixtures & Appliances","10 Thousand +",PATK
1980,Billion_Dollar_Company,Technology,"Semiconductor Equipment & Materials","Thousand +",COHU
1980,Billion_Dollar_Company,Technology,Software—Application,"Thousand +",AGYS
1980,Billion_Dollar_Company,Utilities,"Utilities—Regulated Electric","Less Than Hundred",MGEE
1980,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",UMBF
1980,Billion_Dollar_Company,"Real Estate",REIT—Specialty,"Thousand +",PCH
1980,Billion_Dollar_Company,Industrials,"Specialty Industrial Machinery","5 Thousand +",FELE
1980,Billion_Dollar_Company,"Financial Services",Banks—Regional,"5 Thousand +",BPOP
1980,Billion_Dollar_Company,"Financial Services",Banks—Regional,"10 Thousand +",ZION
1980,Billion_Dollar_Company,"Consumer Cyclical",Restaurants,"Thousand +",WEN
1980,Billion_Dollar_Company,"Consumer Defensive","Household & Personal Products","10 Thousand +",NWL
1980,Billion_Dollar_Company,"Consumer Defensive","Packaged Foods","Thousand +",LANC
1980,Billion_Dollar_Company,"Financial Services","Insurance—Property & Casualty","Thousand +",SIGI
1980,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",CBSH
1980,Billion_Dollar_Company,"Consumer Cyclical",Leisure,"5 Thousand +",HAS
1980,10_Billion_Dollar_Company,"Real Estate","REIT—Hotel & Motel","Hundred +",HST
1980,10_Billion_Dollar_Company,Healthcare,"Drug Manufacturers—Specialty & Generic","10 Thousand +",VTRS
1980,10_Billion_Dollar_Company,Industrials,"Specialty Industrial Machinery","5 Thousand +",NDSN
1980,10_Billion_Dollar_Company,"Financial Services","Insurance—Property & Casualty","5 Thousand +",CINF
1980,10_Billion_Dollar_Company,"Financial Services",Banks—Regional,"10 Thousand +",HBAN
1980,10_Billion_Dollar_Company,"Financial Services","Asset Management","10 Thousand +",NTRS
1980,10_Billion_Dollar_Company,"Financial Services",Banks—Regional,"10 Thousand +",FITB
1980,10_Billion_Dollar_Company,Healthcare,"Pharmaceutical Retailers","Lakh +",WBA
1980,10_Billion_Dollar_Company,Industrials,"Farm & Heavy Construction Machinery","10 Thousand +",PCAR
1980,10_Billion_Dollar_Company,Technology,"Semiconductor Equipment & Materials","10 Thousand +",KLAC
1980,10_Billion_Dollar_Company,Industrials,Railroads,"10 Thousand +",CSX
1980,10_Billion_Dollar_Company,Industrials,"Staffing & Employment Services","50 Thousand +",ADP
1980,10_Billion_Dollar_Company,Technology,Semiconductors,"10 Thousand +",ADI
1980,10_Billion_Dollar_Company,Technology,"Semiconductor Equipment & Materials","10 Thousand +",AMAT
1980,100_Billion_Dollar_Company,Technology,Semiconductors,"10 Thousand +",AMD
1980,100_Billion_Dollar_Company,"Communication Services","Telecom Services","Lakh +",CMCSA
1980,Trillion_Dollar_Company,Technology,"Consumer Electronics","Lakh +",AAPL
1981,10_Million_Dollar_Company,Technology,Solar,"Hundred +",PEGY
1981,10_Million_Dollar_Company,Technology,"Scientific & Technical Instruments","Less Than Hundred",ELSE
1981,10_Million_Dollar_Company,Healthcare,Biotechnology,"Hundred +",VXRT
1981,100_Million_Dollar_Company,Healthcare,"Medical Devices","Hundred +",FONR
1981,100_Million_Dollar_Company,Technology,"Computer Hardware","Hundred +",ALOT
1981,100_Million_Dollar_Company,Industrials,Railroads,"Thousand +",FSTR
1981,Billion_Dollar_Company,Industrials,"Security & Protection Services","Thousand +",NSSC
1981,Billion_Dollar_Company,"Communication Services","Telecom Services","Hundred +",IDCC
1981,Billion_Dollar_Company,"Consumer Cyclical",Restaurants,"50 Thousand +",CBRL
1981,Billion_Dollar_Company,"Consumer Cyclical","Auto Parts","5 Thousand +",GNTX
1981,Billion_Dollar_Company,"Financial Services","Asset Management","Thousand +",SEIC
1981,Billion_Dollar_Company,"Basic Materials",Gold,"Less Than Hundred",RGLD
1981,10_Billion_Dollar_Company,Technology,"Communication Equipment","Lakh +",ERIC
1982,10_Million_Dollar_Company,Technology,"Information Technology Services","Hundred +",CSPI
1982,100_Million_Dollar_Company,Industrials,"Aerospace & Defense","Thousand +",VSEC
1982,Billion_Dollar_Company,Healthcare,"Health Information Services","Thousand +",NXGN
1982,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",WAFD
1983,Million_Dollar_Company,Healthcare,"Medical Devices","Hundred +",DYNT
1983,10_Million_Dollar_Company,Industrials,"Tools & Accessories","Hundred +",PFIN
1983,10_Million_Dollar_Company,Healthcare,"Medical Instruments & Supplies","Less Than Hundred",DXR
1983,10_Million_Dollar_Company,"Financial Services","Asset Management","Less Than Hundred",TURN
1983,10_Million_Dollar_Company,"Communication Services",Entertainment,"Thousand +",RDI
1983,10_Million_Dollar_Company,Technology,"Computer Hardware","Thousand +",KTCC
1983,10_Million_Dollar_Company,Technology,"Communication Equipment","Hundred +",CAMP
1983,100_Million_Dollar_Company,Industrials,Conglomerates,"Thousand +",RCMT
1983,100_Million_Dollar_Company,Technology,"Semiconductor Equipment & Materials","Hundred +",ASYS
1983,100_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",ANIX
1983,100_Million_Dollar_Company,Technology,"Electronic Components","Hundred +",RELL
1983,100_Million_Dollar_Company,Technology,Software—Application,"Hundred +",AMSWA
1983,100_Million_Dollar_Company,Technology,"Electronic Components","5 Thousand +",BELFA
1983,100_Million_Dollar_Company,"Financial Services","Financial Data & Stock Exchanges","Hundred +",VALU
1983,100_Million_Dollar_Company,Industrials,"Building Products & Equipment","Thousand +",TILE
1983,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",TRST
1983,Billion_Dollar_Company,Healthcare,"Medical Care Facilities","10 Thousand +",HCSG
1983,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",SRCE
1983,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",FFBC
1983,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",CVBF
1983,Billion_Dollar_Company,"Financial Services","Credit Services","Thousand +",SLM
1983,Billion_Dollar_Company,Industrials,"Rental & Leasing Services","10 Thousand +",CAR
1983,Billion_Dollar_Company,"Consumer Cyclical","Specialty Retail","10 Thousand +",CASY
1983,10_Billion_Dollar_Company,Industrials,"Integrated Freight & Logistics","10 Thousand +",JBHT
1983,10_Billion_Dollar_Company,Industrials,"Staffing & Employment Services","10 Thousand +",PAYX
1983,10_Billion_Dollar_Company,Industrials,"Specialty Business Services","10 Thousand +",CTAS
1983,100_Billion_Dollar_Company,Healthcare,"Drug Manufacturers—General","10 Thousand +",AMGN
1984,10_Million_Dollar_Company,Healthcare,"Medical Devices","Less Than Hundred",BMRA
1984,10_Million_Dollar_Company,Healthcare,"Medical Devices","Hundred +",ICAD
1984,10_Million_Dollar_Company,Industrials,"Integrated Freight & Logistics","Hundred +",AIRT
1984,10_Million_Dollar_Company,"Real Estate","Real Estate Services","Less Than Hundred",MAYS
1984,100_Million_Dollar_Company,Industrials,"Staffing & Employment Services","5 Thousand +",KELYB
1984,100_Million_Dollar_Company,Industrials,"Farm & Heavy Construction Machinery","Thousand +",SHYF
1984,100_Million_Dollar_Company,Technology,"Scientific & Technical Instruments","Hundred +",MLAB
1984,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",SBCF
1984,Billion_Dollar_Company,Industrials,"Rental & Leasing Services","Thousand +",MGRC
1984,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",ONB
1984,Billion_Dollar_Company,"Consumer Cyclical",Gambling,"5 Thousand +",LNW
1984,10_Billion_Dollar_Company,Industrials,"Integrated Freight & Logistics","10 Thousand +",EXPD
1984,10_Billion_Dollar_Company,Technology,Semiconductors,"10 Thousand +",SWKS
1984,10_Billion_Dollar_Company,Technology,Semiconductors,"10 Thousand +",MU
1984,10_Billion_Dollar_Company,Technology,"Semiconductor Equipment & Materials","10 Thousand +",LRCX
1985,10_Million_Dollar_Company,"Financial Services","Asset Management","Less Than Hundred",GROW
1985,10_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",ASRV
1985,10_Million_Dollar_Company,"Consumer Cyclical",Restaurants,"Hundred +",ARKR
1985,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",PEBK
1985,100_Million_Dollar_Company,Technology,"Electronic Components","Thousand +",LYTS
1985,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",IBCP
1985,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",FULT
1985,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",SFNC
1985,Billion_Dollar_Company,Industrials,"Aerospace & Defense","5 Thousand +",DRS
1985,10_Billion_Dollar_Company,Technology,"Information Technology Services","5 Thousand +",JKHY
1985,10_Billion_Dollar_Company,"Consumer Cyclical","Apparel Retail","Lakh +",ROST
1985,10_Billion_Dollar_Company,Technology,Software—Application,"10 Thousand +",ADSK
1985,10_Billion_Dollar_Company,"Consumer Defensive",Beverages—Non-Alcoholic,"Thousand +",MNST
1986,Million_Dollar_Company,Technology,Software—Application,"Hundred +",KSPN
1986,10_Million_Dollar_Company,"Consumer Cyclical","Textile Manufacturing","Thousand +",DXYN
1986,10_Million_Dollar_Company,"Consumer Defensive",Confectioners,"Hundred +",RMCF
1986,10_Million_Dollar_Company,Technology,"Electronic Components","Less Than Hundred",REFR
1986,10_Million_Dollar_Company,Healthcare,"Medical Instruments & Supplies","Hundred +",PDEX
1986,10_Million_Dollar_Company,"Financial Services",Banks—Regional,"Less Than Hundred",BKSC
1986,10_Million_Dollar_Company,"Consumer Cyclical","Apparel Manufacturing","Thousand +",LAKE
1986,100_Million_Dollar_Company,Industrials,"Specialty Business Services","Thousand +",DLHC
1986,100_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",XOMA
1986,100_Million_Dollar_Company,"Financial Services",Insurance—Specialty,"Hundred +",ITIC
1986,100_Million_Dollar_Company,Technology,Software—Application,"Hundred +",DJCO
1986,100_Million_Dollar_Company,Healthcare,"Medical Devices","Hundred +",AXGN
1986,100_Million_Dollar_Company,"Financial Services","Insurance—Property & Casualty","Less Than Hundred",DGICB
1986,100_Million_Dollar_Company,Healthcare,"Medical Instruments & Supplies","Hundred +",OSUR
1986,100_Million_Dollar_Company,"Real Estate","Real Estate Services","Less Than Hundred",FRPH
1986,100_Million_Dollar_Company,Industrials,Trucking,"Thousand +",PTSI
1986,100_Million_Dollar_Company,Technology,"Communication Equipment","Hundred +",CLFD
1986,100_Million_Dollar_Company,"Consumer Cyclical","Furnishings, Fixtures & Appliances","10 Thousand +",AMWD
1986,100_Million_Dollar_Company,"Consumer Defensive","Packaged Foods","Thousand +",STKL
1986,100_Million_Dollar_Company,Industrials,"Farm & Heavy Construction Machinery","Thousand +",ASTE
