year,market_Cap_Filter,sector_Filter,industry_Filter,company_Size_Filter,symbol
1998,100_Million_Dollar_Company,"Consumer Cyclical",Restaurants,"Thousand +",DENN
1998,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",UVSP
1998,100_Million_Dollar_Company,Technology,Software—Infrastructure,"Hundred +",OSPN
1998,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",HFWA
1998,100_Million_Dollar_Company,Industrials,"Consulting Services","Hundred +",CRAI
1998,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",RBCAA
1998,100_Million_Dollar_Company,Industrials,"Engineering & Construction","5 Thousand +",IESC
1998,100_Million_Dollar_Company,"Consumer Defensive","Education & Training Services","Thousand +",PRDO
1998,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",BRKL
1998,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",SBSI
1998,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",BUSE
1998,Billion_Dollar_Company,Technology,"Electronics & Computer Distribution","Thousand +",CNXN
1998,Billion_Dollar_Company,Technology,Software—Application,"Thousand +",SPNS
1998,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",HOPE
1998,Billion_Dollar_Company,"Financial Services","Asset Management","Hundred +",AVTA
1998,Billion_Dollar_Company,"Basic Materials","Specialty Chemicals","Thousand +",IOSP
1998,Billion_Dollar_Company,Industrials,"Aerospace & Defense","Thousand +",MRCY
1998,Billion_Dollar_Company,Technology,Software—Application,"Thousand +",MSTR
1998,Billion_Dollar_Company,"Financial Services",Banks—Regional,"5 Thousand +",WTFC
1998,Billion_Dollar_Company,"Consumer Cyclical","Apparel Manufacturing","5 Thousand +",COLM
1998,Billion_Dollar_Company,Technology,Semiconductors,"10 Thousand +",AMKR
1998,Billion_Dollar_Company,Energy,"Oil & Gas Midstream","Thousand +",PAA
1998,Billion_Dollar_Company,Technology,Software—Application,"Thousand +",MANH
1998,10_Billion_Dollar_Company,Technology,Software—Infrastructure,"10 Thousand +",DOX
1998,10_Billion_Dollar_Company,Healthcare,"Diagnostics & Research","10 Thousand +",ICLR
1998,10_Billion_Dollar_Company,Technology,Software—Infrastructure,"Hundred +",VRSN
1998,10_Billion_Dollar_Company,"Consumer Cyclical","Internet Retail","10 Thousand +",EBAY
1998,10_Billion_Dollar_Company,"Real Estate","Real Estate Services","5 Thousand +",CSGP
1998,10_Billion_Dollar_Company,Technology,"Information Technology Services","Lakh +",CTSH
1999,Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",PTE
1999,Million_Dollar_Company,Technology,"Information Technology Services","Less Than Hundred",SLNH
1999,10_Million_Dollar_Company,Industrials,"Engineering & Construction","Thousand +",OIG
1999,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",IMNN
1999,10_Million_Dollar_Company,Technology,"Computer Hardware","Less Than Hundred",SCKT
1999,10_Million_Dollar_Company,"Financial Services","Insurance—Property & Casualty","Less Than Hundred",KINS
1999,10_Million_Dollar_Company,Healthcare,"Medical Devices","Less Than Hundred",AEMD
1999,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",ELOX
1999,10_Million_Dollar_Company,"Financial Services",Banks—Regional,"Less Than Hundred",GLBZ
1999,10_Million_Dollar_Company,Technology,Software—Application,"Less Than Hundred",BSQR
1999,10_Million_Dollar_Company,"Consumer Defensive","Household & Personal Products","Hundred +",MTEX
1999,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",LSTA
1999,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",KZIA
1999,10_Million_Dollar_Company,"Communication Services",Broadcasting,"Thousand +",SALM
1999,10_Million_Dollar_Company,"Financial Services",Banks—Regional,"Less Than Hundred",MSVB
1999,10_Million_Dollar_Company,Technology,Software—Application,"Less Than Hundred",IDN
1999,10_Million_Dollar_Company,Technology,Software—Application,"Less Than Hundred",NXPL
1999,10_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",FUSB
1999,10_Million_Dollar_Company,Technology,"Information Technology Services","Hundred +",USIO
1999,10_Million_Dollar_Company,Industrials,"Specialty Business Services","Less Than Hundred",OMEX
1999,10_Million_Dollar_Company,"Real Estate",REIT—Mortgage,"Less Than Hundred",LOAN
1999,10_Million_Dollar_Company,"Financial Services","Asset Management","Hundred +",GEG
1999,10_Million_Dollar_Company,"Communication Services",Entertainment,"Hundred +",GAIA
1999,10_Million_Dollar_Company,Industrials,"Specialty Industrial Machinery","Hundred +",CVV
1999,10_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",CIZN
1999,10_Million_Dollar_Company,Technology,Semiconductors,"Less Than Hundred",QUIK
1999,10_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",FCAP
1999,10_Million_Dollar_Company,Technology,"Scientific & Technical Instruments","Less Than Hundred",SOTK
1999,10_Million_Dollar_Company,Technology,"Communication Equipment","Hundred +",PCTI
1999,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",SEEL
1999,10_Million_Dollar_Company,Industrials,"Specialty Business Services","Thousand +",PFSW
1999,10_Million_Dollar_Company,"Financial Services",Banks—Regional,"Less Than Hundred",FXNC
1999,10_Million_Dollar_Company,Technology,"Communication Equipment","Hundred +",PWFL
1999,10_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",UNB
1999,10_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",SBFG
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",UBFO
1999,100_Million_Dollar_Company,Technology,"Computer Hardware","Hundred +",QMCO
1999,100_Million_Dollar_Company,Healthcare,Biotechnology,"Hundred +",VERU
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",OPOF
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",FNCB
1999,100_Million_Dollar_Company,Technology,Software—Application,"Less Than Hundred",PCYG
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",PTRS
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",FCCO
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",HWBK
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",LCNB
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",VABK
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",NKSH
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",CHMG
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",ORRF
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",CVCY
1999,100_Million_Dollar_Company,"Financial Services","Asset Management","Less Than Hundred",SWKH
1999,100_Million_Dollar_Company,Technology,Software—Application,"Hundred +",EGAN
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",SFST
1999,100_Million_Dollar_Company,Technology,Software—Application,"Less Than Hundred",IMMR
1999,100_Million_Dollar_Company,Technology,Software—Infrastructure,"Thousand +",LSAK
1999,100_Million_Dollar_Company,"Communication Services","Telecom Services","Less Than Hundred",SIFY
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",FDBC
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",FNLC
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",FISI
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",WTBA
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",AMNB
1999,100_Million_Dollar_Company,Healthcare,"Pharmaceutical Retailers","Hundred +",PETS
1999,100_Million_Dollar_Company,Technology,"Communication Equipment","Less Than Hundred",AUDC
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",BMRC
1999,100_Million_Dollar_Company,Technology,"Information Technology Services","Hundred +",DMRC
1999,100_Million_Dollar_Company,Healthcare,"Medical Instruments & Supplies","Hundred +",UTMD
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",CZFS
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",GCBC
1999,100_Million_Dollar_Company,"Communication Services",Broadcasting,"Hundred +",UONE
1999,100_Million_Dollar_Company,Technology,"Information Technology Services","Hundred +",CTLP
1999,100_Million_Dollar_Company,"Financial Services","Credit Services","Hundred +",ATLC
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",FMNB
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",MBWM
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",CATC
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",PGC
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",FMBH
1999,100_Million_Dollar_Company,Industrials,"Aerospace & Defense","Thousand +",SWBI
1999,100_Million_Dollar_Company,Industrials,"Staffing & Employment Services","Thousand +",HSII
1999,100_Million_Dollar_Company,Industrials,"Electrical Equipment & Parts","Thousand +",PLPC
1999,100_Million_Dollar_Company,Utilities,"Utilities—Regulated Water","Hundred +",YORW
1999,100_Million_Dollar_Company,"Consumer Cyclical","Specialty Retail","Thousand +",FLWS
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",PFBC
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",EGBN
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",DCOM
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",CFFN
1999,100_Million_Dollar_Company,Technology,Software—Infrastructure,"Thousand +",RDWR
1999,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",LBAI
1999,100_Million_Dollar_Company,"Communication Services","Telecom Services","Hundred +",SHEN
1999,Billion_Dollar_Company,"Financial Services","Mortgage Finance","5 Thousand +",ECPG
1999,Billion_Dollar_Company,"Consumer Cyclical","Resorts & Casinos","5 Thousand +",GDEN
1999,Billion_Dollar_Company,Healthcare,"Health Information Services","5 Thousand +",MDRX
1999,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",HTLF
1999,Billion_Dollar_Company,Industrials,"Aerospace & Defense","Thousand +",KTOS
1999,Billion_Dollar_Company,"Financial Services","Capital Markets","Thousand +",BGCP
1999,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",TOWN
1999,Billion_Dollar_Company,Technology,Software—Infrastructure,"Thousand +",NTCT
1999,Billion_Dollar_Company,Technology,"Communication Equipment","Thousand +",EXTR
1999,Billion_Dollar_Company,Technology,"Information Technology Services","5 Thousand +",PRFT
1999,Billion_Dollar_Company,Energy,"Thermal Coal","Thousand +",ARLP
1999,Billion_Dollar_Company,"Communication Services","Advertising Agencies","Thousand +",ZD
1999,Billion_Dollar_Company,Industrials,"Electrical Equipment & Parts","Thousand +",PLUG
1999,Billion_Dollar_Company,Technology,"Scientific & Technical Instruments","10 Thousand +",MKSI
1999,Billion_Dollar_Company,Technology,"Scientific & Technical Instruments","Thousand +",NOVT
1999,Billion_Dollar_Company,Technology,Software—Application,"Less Than Hundred",DSGX
1999,Billion_Dollar_Company,"Financial Services",Banks—Diversified,"Thousand +",EWBC
1999,Billion_Dollar_Company,Technology,Software—Infrastructure,"5 Thousand +",FFIV
1999,10_Billion_Dollar_Company,Healthcare,Biotechnology,"Hundred +",UTHR
1999,10_Billion_Dollar_Company,Technology,Software—Infrastructure,"5 Thousand +",AKAM
1999,10_Billion_Dollar_Company,Healthcare,Biotechnology,"Thousand +",BMRN
1999,10_Billion_Dollar_Company,"Real Estate",REIT—Specialty,"Thousand +",SBAC
1999,100_Billion_Dollar_Company,"Consumer Cyclical","Travel Services","10 Thousand +",BKNG
1999,100_Billion_Dollar_Company,Technology,Semiconductors,"10 Thousand +",NVDA
2000,Million_Dollar_Company,Healthcare,"Drug Manufacturers—Specialty & Generic","Less Than Hundred",CYTH
2000,Million_Dollar_Company,Healthcare,"Medical Devices","Hundred +",SRGA
2000,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",AEZS
2000,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",INFI
2000,10_Million_Dollar_Company,"Communication Services","Electronic Gaming & Multimedia","Less Than Hundred",GIGM
2000,10_Million_Dollar_Company,Industrials,"Security & Protection Services","Less Than Hundred",VRME
2000,10_Million_Dollar_Company,Healthcare,"Diagnostics & Research","Hundred +",CEMI
2000,10_Million_Dollar_Company,"Communication Services",Broadcasting,"Hundred +",BBGI
2000,10_Million_Dollar_Company,Industrials,"Specialty Industrial Machinery","Hundred +",CGRN
2000,10_Million_Dollar_Company,"Financial Services","Capital Markets","Hundred +",GREE
2000,10_Million_Dollar_Company,Technology,"Communication Equipment","Less Than Hundred",UTSI
2000,10_Million_Dollar_Company,Technology,Software—Application,"Hundred +",MNDO
2000,10_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",BOTJ
2000,10_Million_Dollar_Company,Healthcare,"Diagnostics & Research","Less Than Hundred",AWH
2000,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",CGEN
2000,10_Million_Dollar_Company,Technology,"Communication Equipment","Hundred +",INSG
2000,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",CRIS
2000,10_Million_Dollar_Company,Technology,Semiconductors,"Hundred +",PXLW
2000,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",EBMT
2000,100_Million_Dollar_Company,Healthcare,"Drug Manufacturers—Specialty & Generic","Less Than Hundred",DRRX
2000,100_Million_Dollar_Company,Industrials,"Aerospace & Defense","Less Than Hundred",ISSC
2000,100_Million_Dollar_Company,Technology,"Communication Equipment","Hundred +",LTRX
2000,100_Million_Dollar_Company,Technology,"Communication Equipment","Less Than Hundred",CRNT
2000,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",ATLO
2000,100_Million_Dollar_Company,Healthcare,Biotechnology,"Hundred +",RIGL
2000,100_Million_Dollar_Company,"Real Estate","REIT—Healthcare Facilities","Less Than Hundred",DHC
2000,100_Million_Dollar_Company,"Communication Services",Broadcasting,"Hundred +",UONEK
2000,100_Million_Dollar_Company,Healthcare,Biotechnology,"Hundred +",SGMO
2000,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",SMMF
2000,100_Million_Dollar_Company,"Financial Services","Asset Management","Hundred +",NEWT
2000,100_Million_Dollar_Company,Technology,Software—Application,"Thousand +",LPSN
2000,100_Million_Dollar_Company,"Communication Services","Telecom Services","Thousand +",RBBN
2000,100_Million_Dollar_Company,Healthcare,Biotechnology,"Hundred +",LXRX
2000,100_Million_Dollar_Company,"Communication Services","Electronic Gaming & Multimedia","Thousand +",SOHU
2000,100_Million_Dollar_Company,"Communication Services",Entertainment,"Thousand +",RDIB
2000,100_Million_Dollar_Company,Industrials,"Consulting Services","Hundred +",RGP
2000,100_Million_Dollar_Company,Healthcare,Biotechnology,"Hundred +",AGEN
2000,100_Million_Dollar_Company,Healthcare,"Drug Manufacturers—Specialty & Generic","Hundred +",ANIP
2000,100_Million_Dollar_Company,Healthcare,"Health Information Services","Thousand +",HSTM
2000,100_Million_Dollar_Company,"Consumer Defensive","Food Distribution","10 Thousand +",SPTN
2000,100_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",SAVA
2000,Billion_Dollar_Company,Technology,"Semiconductor Equipment & Materials","Hundred +",CAMT
2000,Billion_Dollar_Company,Technology,"Electronic Components","10 Thousand +",TTMI
2000,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",PACW
2000,Billion_Dollar_Company,"Financial Services",Banks—Regional,"5 Thousand +",GGAL
2000,Billion_Dollar_Company,Healthcare,Biotechnology,"Hundred +",INSM
2000,Billion_Dollar_Company,Technology,"Semiconductor Equipment & Materials","Thousand +",NVMI
2000,Billion_Dollar_Company,Technology,"Semiconductor Equipment & Materials","Thousand +",ACLS
2000,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",PNFP
2000,Billion_Dollar_Company,Technology,Semiconductors,"Thousand +",SLAB
2000,Billion_Dollar_Company,Healthcare,Biotechnology,"Thousand +",EXEL
2000,10_Billion_Dollar_Company,Technology,"Semiconductor Equipment & Materials","10 Thousand +",ENTG
2000,10_Billion_Dollar_Company,Healthcare,"Medical Devices","5 Thousand +",BRKR
2000,10_Billion_Dollar_Company,Technology,Semiconductors,"10 Thousand +",ON
2000,10_Billion_Dollar_Company,Technology,Semiconductors,"5 Thousand +",MRVL
2000,10_Billion_Dollar_Company,Healthcare,"Diagnostics & Research","10 Thousand +",ILMN
2000,10_Billion_Dollar_Company,"Communication Services","Electronic Gaming & Multimedia","Less Than Hundred",NTES
2000,10_Billion_Dollar_Company,"Real Estate",REIT—Specialty,"10 Thousand +",EQIX
2000,100_Billion_Dollar_Company,Healthcare,"Medical Instruments & Supplies","10 Thousand +",ISRG
2001,10_Million_Dollar_Company,Technology,Semiconductors,"Less Than Hundred",PRSO
2001,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",PSTV
2001,10_Million_Dollar_Company,"Consumer Cyclical","Auto Parts","Less Than Hundred",WKSP
2001,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",ONCY
2001,10_Million_Dollar_Company,Industrials,"Aerospace & Defense","Less Than Hundred",CODA
2001,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",COFS
2001,100_Million_Dollar_Company,Healthcare,"Medical Instruments & Supplies","Hundred +",HBIO
2001,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",SHBI
2001,100_Million_Dollar_Company,"Consumer Cyclical","Personal Services","5 Thousand +",WW
2001,100_Million_Dollar_Company,Healthcare,"Medical Care Facilities","Thousand +",CCRN
2001,Billion_Dollar_Company,Technology,Software—Application,"Hundred +",PDFS
2001,Billion_Dollar_Company,Healthcare,"Health Information Services","Thousand +",OMCL
2001,10_Billion_Dollar_Company,Healthcare,"Diagnostics & Research","5 Thousand +",EXAS
2001,10_Billion_Dollar_Company,Industrials,"Aerospace & Defense","Thousand +",AXON
2001,10_Billion_Dollar_Company,"Financial Services","Asset Management","10 Thousand +",PFG
2001,10_Billion_Dollar_Company,"Financial Services","Insurance Brokers","10 Thousand +",WTW
2001,10_Billion_Dollar_Company,Healthcare,"Medical Devices","10 Thousand +",ALGN
2001,10_Billion_Dollar_Company,Healthcare,Biotechnology,"Thousand +",SGEN
2001,10_Billion_Dollar_Company,"Consumer Defensive",Confectioners,"50 Thousand +",MDLZ
2002,Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",MRKR
2002,10_Million_Dollar_Company,"Consumer Cyclical","Specialty Retail","Thousand +",KIRK
2002,10_Million_Dollar_Company,Technology,"Computer Hardware","Less Than Hundred",RCAT
2002,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",PRTG
2002,10_Million_Dollar_Company,Technology,"Electronic Components","Less Than Hundred",LINK
2002,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",IPA
2002,10_Million_Dollar_Company,"Communication Services","Advertising Agencies","Hundred +",TZOO
2002,10_Million_Dollar_Company,"Consumer Cyclical","Home Improvement Retail","Hundred +",LIVE
2002,10_Million_Dollar_Company,Energy,"Oil & Gas Midstream","Less Than Hundred",MMLP
2002,100_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",GALT
2002,100_Million_Dollar_Company,"Consumer Cyclical","Specialty Retail","Thousand +",BGFV
2002,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",WNEB
2002,100_Million_Dollar_Company,"Consumer Cyclical","Furnishings, Fixtures & Appliances","Thousand +",HOFT
2002,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",PLBC
2002,100_Million_Dollar_Company,"Consumer Cyclical",Restaurants,"10 Thousand +",RRGB
2002,100_Million_Dollar_Company,Industrials,"Business Equipment & Supplies","Hundred +",ACTG
2002,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",PFIS
2002,100_Million_Dollar_Company,"Financial Services","Asset Management","Less Than Hundred",GLAD
2002,100_Million_Dollar_Company,Healthcare,"Health Information Services","Thousand +",CPSI
2002,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",HBNC
2002,100_Million_Dollar_Company,"Consumer Defensive","Food Distribution","Thousand +",CVGW
2002,100_Million_Dollar_Company,Technology,Semiconductors,"Hundred +",CEVA
2002,100_Million_Dollar_Company,"Consumer Cyclical","Internet Retail","Thousand +",OSTK
2002,Billion_Dollar_Company,"Financial Services","Insurance—Property & Casualty","Hundred +",SAFT
2002,Billion_Dollar_Company,"Financial Services","Credit Services","Thousand +",PRAA
2002,Billion_Dollar_Company,Industrials,Airlines,"10 Thousand +",JBLU
2002,Billion_Dollar_Company,Technology,Software—Infrastructure,"Thousand +",VRNT
2002,Billion_Dollar_Company,"Real Estate","REIT—Healthcare Facilities","Less Than Hundred",SBRA
2002,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",UCBI
2002,Billion_Dollar_Company,"Communication Services","Telecom Services","Thousand +",CCOI
2002,Billion_Dollar_Company,Technology,Semiconductors,"Thousand +",SYNA
2002,Billion_Dollar_Company,Industrials,Trucking,"10 Thousand +",SAIA
2002,10_Billion_Dollar_Company,Technology,"Computer Hardware","10 Thousand +",STX
2002,10_Billion_Dollar_Company,"Consumer Cyclical","Resorts & Casinos","10 Thousand +",WYNN
2002,10_Billion_Dollar_Company,"Financial Services","Financial Data & Stock Exchanges","5 Thousand +",NDAQ
2002,10_Billion_Dollar_Company,"Financial Services","Financial Data & Stock Exchanges","Thousand +",CME
2002,100_Billion_Dollar_Company,Healthcare,"Drug Manufacturers—General","50 Thousand +",SNY
2002,100_Billion_Dollar_Company,"Communication Services",Entertainment,"10 Thousand +",NFLX
2003,Million_Dollar_Company,"Consumer Defensive","Packaged Foods","Less Than Hundred",RIBT
2003,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",ATHE
2003,10_Million_Dollar_Company,Healthcare,"Health Information Services","Less Than Hundred",OTRK
2003,10_Million_Dollar_Company,Healthcare,"Diagnostics & Research","Less Than Hundred",APDN
2003,10_Million_Dollar_Company,Technology,Software—Infrastructure,"Less Than Hundred",MARK
2003,10_Million_Dollar_Company,"Consumer Cyclical","Auto Manufacturers","Less Than Hundred",AYRO
2003,10_Million_Dollar_Company,"Financial Services",Banks—Regional,"Less Than Hundred",OPHC
2003,10_Million_Dollar_Company,"Consumer Cyclical","Specialty Retail","Less Than Hundred",CTIB
2003,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",ZIVO
2003,10_Million_Dollar_Company,Industrials,"Electrical Equipment & Parts","Less Than Hundred",APWC
2003,10_Million_Dollar_Company,Healthcare,Biotechnology,"Hundred +",MEIP
2003,10_Million_Dollar_Company,Healthcare,Biotechnology,"Hundred +",PLUR
2003,10_Million_Dollar_Company,"Consumer Cyclical","Furnishings, Fixtures & Appliances","Hundred +",CRWS
2003,10_Million_Dollar_Company,Industrials,"Staffing & Employment Services","Thousand +",HSON
2003,10_Million_Dollar_Company,"Communication Services",Entertainment,"Hundred +",CIDM
2003,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",BCLI
2003,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",CBFV
2003,100_Million_Dollar_Company,"Consumer Cyclical","Specialty Retail","Thousand +",CONN
2003,100_Million_Dollar_Company,"Consumer Cyclical","Auto Parts","Thousand +",CAAS
2003,100_Million_Dollar_Company,"Financial Services","Asset Management","Less Than Hundred",OXSQ
2003,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",MBCN
2003,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",BCBP
2003,100_Million_Dollar_Company,Technology,"Communication Equipment","Hundred +",DZSI
2003,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",OVLY
2003,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",PKBK
2003,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",OBT
2003,100_Million_Dollar_Company,Industrials,"Staffing & Employment Services","Hundred +",HQI
2003,100_Million_Dollar_Company,"Consumer Defensive","Farm Products","Hundred +",LMNR
2003,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",ALRS
2003,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",SMBK
2003,100_Million_Dollar_Company,"Real Estate",REIT—Diversified,"Less Than Hundred",GOOD
2003,100_Million_Dollar_Company,"Financial Services","Insurance—Property & Casualty","Less Than Hundred",DGICA
2003,100_Million_Dollar_Company,Technology,"Communication Equipment","Hundred +",NTGR
2003,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",BFC
2003,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",FBMS
2003,100_Million_Dollar_Company,Technology,Software—Application,"Hundred +",ADEA
2003,100_Million_Dollar_Company,Technology,Semiconductors,"Less Than Hundred",IMOS
2003,Billion_Dollar_Company,Healthcare,"Medical Care Facilities","10 Thousand +",MODV
2003,Billion_Dollar_Company,Energy,"Oil & Gas E&P","Less Than Hundred",DMLP
2003,Billion_Dollar_Company,Industrials,Airlines,"5 Thousand +",ATSG
2003,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",EFSC
2003,Billion_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",BLU
2003,Billion_Dollar_Company,Technology,Semiconductors,"Thousand +",FORM
2003,Billion_Dollar_Company,Energy,"Oil & Gas Midstream","Hundred +",GLNG
2003,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",TCBI
2003,Billion_Dollar_Company,"Consumer Cyclical","Residential Construction","5 Thousand +",CVCO
2003,Billion_Dollar_Company,"Consumer Cyclical","Auto & Truck Dealerships","5 Thousand +",RUSHA
2003,Billion_Dollar_Company,"Communication Services",Entertainment,"10 Thousand +",NXST
2003,10_Billion_Dollar_Company,"Consumer Cyclical","Auto Parts","10 Thousand +",LKQ
2003,10_Billion_Dollar_Company,"Consumer Cyclical","Travel Services","10 Thousand +",TCOM
2004,Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",NBSE
2004,Million_Dollar_Company,"Consumer Cyclical",Gambling,"Less Than Hundred",ELYS
2004,Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",CYCC
2004,10_Million_Dollar_Company,Healthcare,"Medical Devices","Less Than Hundred",NURO
2004,10_Million_Dollar_Company,Utilities,Utilities—Renewable,"Less Than Hundred",CREG
2004,10_Million_Dollar_Company,Healthcare,"Diagnostics & Research","Hundred +",STRR
2004,10_Million_Dollar_Company,Healthcare,"Medical Instruments & Supplies","Less Than Hundred",NEPH
2004,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",ONCT
2004,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",ABVC
2004,10_Million_Dollar_Company,"Communication Services","Electronic Gaming & Multimedia","Less Than Hundred",NCTY
2004,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",ACER
2004,10_Million_Dollar_Company,Industrials,"Marine Shipping","Less Than Hundred",TOPS
2004,10_Million_Dollar_Company,"Real Estate","REIT—Hotel & Motel","Less Than Hundred",SOHO
2004,10_Million_Dollar_Company,"Basic Materials","Agricultural Inputs","Less Than Hundred",SEED
